Refinery configuration,Config,Capture Scenario,SMR Capture Locations,Year,PADD,Scenario,API,Sul,"Crude Throughput, bpd",Avoidance Cost,"Avoided CO2, kt/y",Normalized Avoidance cost,Normalized Avoided CO2
Deep Conversion: FCC (4),4,SMR,PSA outlet,2050,PADD1,MEDIUM,HEAVY,SOUR,56786.27875,280.5057614,36.68306223,327.9344285,27.83050929
Deep Conversion: FCC (4),4,SMR,Furnance outlet,2050,PADD1,MEDIUM,HEAVY,SOUR,56786.27875,302.6559627,43.04546065,352.9864967,32.65749966
Deep Conversion: GO-HC (5),5,SMR,PSA inlet,2050,PADD1,MEDIUM,HEAVY,SOUR,1000,1683.399435,1.304689185,0,0
Deep Conversion: GO-HC (5),5,SMR,PSA outlet,2050,PADD1,MEDIUM,HEAVY,SOUR,1000,1575.922111,1.320798309,0,0
Deep Conversion: GO-HC (5),5,SMR,Furnance outlet,2050,PADD1,MEDIUM,HEAVY,SOUR,1000,1652.105529,1.563508791,0,0
Deep Conversion: FCC & GO-HC (6),6,SMR,PSA inlet,2050,PADD1,MEDIUM,HEAVY,SOUR,77972.73745,274.2957398,56.5533273,302.23917,52.5080954
Deep Conversion: FCC & GO-HC (6),6,SMR,PSA outlet,2050,PADD1,MEDIUM,HEAVY,SOUR,77972.73745,243.2970712,58.4842404,269.2895292,54.30089123
Deep Conversion: FCC & GO-HC (6),6,SMR,Furnance outlet,2050,PADD1,MEDIUM,HEAVY,SOUR,77972.73745,267.9631131,68.56333158,295.5079849,63.65902994
Hydroskimming Configuration (0),0,SMR,PSA inlet,2050,PADD1,MEDIUM,LIGHT,SWEET,13673.90135,637.3361837,6.086872297,2795.334597,0.773280194
Hydroskimming Configuration (0),0,SMR,PSA outlet,2050,PADD1,MEDIUM,LIGHT,SWEET,13673.90135,582.8193888,6.29749466,2557.139359,0.800037795
Hydroskimming Configuration (0),0,SMR,Furnance outlet,2050,PADD1,MEDIUM,LIGHT,SWEET,13673.90135,610.8847439,7.287411764,2679.762744,0.925797504
Medium Conversion:  FCC (1),1,SMR,PSA inlet,2050,PADD1,MEDIUM,LIGHT,SWEET,238469.9626,226.8081697,140.1946484,280.1673394,82.30218964
Medium Conversion:  FCC (1),1,SMR,PSA outlet,2050,PADD1,MEDIUM,LIGHT,SWEET,238469.9626,197.7926808,145.0309772,245.6919195,85.14138825
Medium Conversion:  FCC (1),1,SMR,Furnance outlet,2050,PADD1,MEDIUM,LIGHT,SWEET,238469.9626,226.4908662,170.2717067,279.790328,99.95912437
Medium Conversion: GO-HC (2),2,SMR,PSA inlet,2050,PADD1,MEDIUM,LIGHT,SWEET,1000,1857.183334,1.152483595,0,0
Medium Conversion: GO-HC (2),2,SMR,PSA outlet,2050,PADD1,MEDIUM,LIGHT,SWEET,1000,1737.356179,1.168445399,0,0
Medium Conversion: GO-HC (2),2,SMR,Furnance outlet,2050,PADD1,MEDIUM,LIGHT,SWEET,1000,1812.382708,1.38976139,0,0
Medium Conversion: FCC & GO-HC (3),3,SMR,PSA inlet,2050,PADD1,MEDIUM,LIGHT,SWEET,85018.75991,271.353434,63.01910313,316.5436121,44.89911132
Medium Conversion: FCC & GO-HC (3),3,SMR,PSA outlet,2050,PADD1,MEDIUM,LIGHT,SWEET,85018.75991,241.119393,64.71004966,282.4644673,46.10385707
