Refinery configuration,Config,Capture Scenario,Year,PADD,Scenario,API,Sul,"Crude Throughput, bpd","Total Avoided CO2_Avg,kt/y","Avoidance Cost Ref, $/t","Avoidance Cost 0.5Ref, $/t","Avoidance Cost 1.5Ref, $/t"
Medium Conversion:  FCC (1),1,ADU/VDU,2050,PADD1,LOW,HEAVY,SOUR,353683.2864,565.2418583,261.9348736,261.170423,263.8201879
Medium Conversion:  FCC (1),1,CNR,2050,PADD1,LOW,HEAVY,SOUR,353683.2864,181.6509492,300.8261131,300.1525898,302.4871792
Medium Conversion:  FCC (1),1,FCC/RFCC,2050,PADD1,LOW,HEAVY,SOUR,353683.2864,517.4762462,176.9284114,175.9413767,179.3626701
Medium Conversion:  FCC (1),1,Coker,2050,PADD1,LOW,HEAVY,SOUR,353683.2864,382.4672098,272.9960327,272.2462599,274.8451478
Medium Conversion:  FCC (1),1,Hydrotreater,2050,PADD1,LOW,HEAVY,SOUR,353683.2864,384.9683888,273.0470664,272.2722903,274.9578457
Medium Conversion:  FCC (1),1,Steam Boiler,2050,PADD1,LOW,HEAVY,SOUR,353683.2864,58.6272536,375.896484,374.7811902,378.6470596
Medium Conversion:  FCC (1),1,SMR,2050,PADD1,LOW,HEAVY,SOUR,353683.2864,7.2735222,873.6511907,873.6511907,873.6511907
Medium Conversion:  FCC (1),1,Others,2050,PADD1,LOW,HEAVY,SOUR,353683.2864,115.475495,324.7498431,323.6040007,327.5757587
Medium Conversion: GO-HC (2),2,No Carbon Capture,2050,PADD1,LOW,HEAVY,SOUR,1000,0,0,0,0
Medium Conversion: GO-HC (2),2,ADU/VDU,2050,PADD1,LOW,HEAVY,SOUR,1000,0,0,0,0
Medium Conversion: GO-HC (2),2,CNR,2050,PADD1,LOW,HEAVY,SOUR,1000,0,0,0,0
Medium Conversion: GO-HC (2),2,FCC/RFCC,2050,PADD1,LOW,HEAVY,SOUR,1000,0,0,0,0
Medium Conversion: GO-HC (2),2,Coker,2050,PADD1,LOW,HEAVY,SOUR,1000,0,0,0,0
Medium Conversion: GO-HC (2),2,Hydrotreater,2050,PADD1,LOW,HEAVY,SOUR,1000,0,0,0,0
Medium Conversion: GO-HC (2),2,Steam Boiler,2050,PADD1,LOW,HEAVY,SOUR,1000,0,0,0,0
Medium Conversion: GO-HC (2),2,SMR,2050,PADD1,LOW,HEAVY,SOUR,1000,0,0,0,0
Medium Conversion: GO-HC (2),2,Others,2050,PADD1,LOW,HEAVY,SOUR,1000,0,0,0,0
